Fecha (Chile),Dir,Entry,SL,TP,Exit,PnL USD,PnL R
2026-03-04 15:03:00-03:00,short,48849.75,48868.735714285714,48783.3,48783.3,1944.82,3.395
2026-03-09 13:30:00-03:00,short,47086.1,47111.01142857142,46998.91,46998.91,1940.54,3.42
2026-03-13 12:02:00-03:00,short,46915.01,46932.03857142857,46855.41,46855.41,1829.31,3.383
2026-03-16 12:54:00-03:00,long,46905.81,46841.81,47129.81,47129.81,1907.66,3.469
2026-03-17 14:26:00-03:00,long,47085.0,47052.81,47197.66500000001,47197.66500000001,1903.67,3.438
2026-03-19 13:50:00-03:00,short,46073.9,46097.525714285715,45991.21,45991.21,1882.13,3.415
2026-03-23 10:48:00-03:00,long,45200.81,45133.81,45435.31,45435.31,1893.81,3.47
2026-03-24 10:45:00-03:00,short,46205.41,46228.41,46124.91,46124.91,1845.89,3.413
2026-03-24 11:48:00-03:00,short,46200.91,46216.19571428572,46147.41,46147.41,1853.25,3.369
2026-03-25 13:31:00-03:00,short,46721.6,46751.22571428571,46617.91,46617.91,1889.96,3.432
