rr,buffer,trades,win_rate,retorno_pct,pnl_usd,profit_factor,max_dd,avg_win,avg_loss
1.5,10,202,44.554455445544555,4.924570000000007,4924.570000000002,1.0788379504121226,6.309204025590807,748.7670000000002,-557.7183928571428
1.5,15,208,48.07692307692308,16.16879000000001,16168.79,1.2559048488180804,4.904869357138671,793.5160999999998,-585.0261111111112
1.5,20,208,48.07692307692308,17.064589999999995,17064.59,1.2664814083174178,6.637027408078558,811.0129,-592.9324074074074
1.5,25,206,48.05825242718447,17.519619999999993,17519.62,1.2757169898857512,6.544690647482026,818.8046464646465,-593.8508411214954
1.5,30,202,47.02970297029702,14.7395,14739.499999999996,1.2383934903753857,7.619552565961508,805.9784210526317,-577.8359813084112
2.0,10,202,40.099009900990104,14.652800000000003,14652.8,1.2042879728746259,8.559985729782312,1066.4074074074074,-592.7785123966943
2.0,15,208,41.82692307692308,22.56089,22560.89,1.2997867558479366,8.484755180062216,1124.3373563218393,-621.9542148760331
2.0,20,205,40.487804878048784,18.267220000000002,18267.219999999998,1.2508964009635228,6.971203408120291,1097.289638554217,-596.7854098360656
2.0,25,203,41.87192118226601,23.823520000000002,23823.52,1.3305623113631144,6.796277204535213,1128.1552941176471,-610.76
2.0,30,200,41.5,22.575739999999993,22575.739999999998,1.3080131409174984,7.786408444973916,1155.0659036144577,-626.4506837606838
2.5,10,202,35.64356435643564,19.729520000000004,19729.52,1.2420951495124237,11.03556041150177,1405.8947222222223,-626.8838461538461
2.5,15,207,35.748792270531396,21.8535,21853.5,1.263776366019023,10.84680315330648,1414.893108108108,-622.9217293233083
2.5,20,205,36.09756097560975,24.098300000000002,24098.300000000003,1.29816905101191,7.546503778112344,1417.8274324324325,-616.9536641221373
2.5,25,202,35.64356435643564,22.39867,22398.67,1.281359362964578,7.927037729427458,1416.769861111111,-612.375076923077
2.5,30,197,35.025380710659896,19.739570000000008,19739.57,1.2530044938114444,9.432163285106828,1416.8144927536232,-609.536171875
3.0,10,202,32.67326732673268,26.861469999999997,26861.470000000005,1.3011783772038161,10.165882096586298,1758.3239393939396,-655.793455882353
3.0,15,206,33.00970873786408,30.33772,30337.72,1.3396368277282702,10.184306704601893,1759.7311764705885,-647.2753623188406
3.0,20,202,32.17821782178218,26.403070000000007,26403.070000000003,1.311865577941383,8.756312865844109,1708.6887692307694,-617.9686131386862
3.0,25,199,31.65829145728643,24.078509999999994,24078.51,1.2911509893881716,8.666582398670956,1694.9146031746034,-608.0963970588235
3.0,30,195,31.794871794871792,24.72178,24721.780000000006,1.3014765923695817,8.592963783036915,1721.3564516129034,-616.5587969924812
3.5,10,202,30.693069306930692,36.37128999999998,36371.28999999999,1.385154325769278,10.08410618426522,2109.747096774194,-674.5216428571429
3.5,15,205,29.268292682926827,29.55142,29551.419999999995,1.3211471716878957,10.907447127430382,2026.1621666666667,-634.6090344827586
3.5,20,201,29.35323383084577,30.36003,30360.03,1.3496906461760747,6.709644406074935,1986.0967796610173,-611.4061971830986
3.5,25,197,29.441624365482234,30.907899999999994,30907.9,1.3590015802485769,6.617957252530007,2017.2749999999996,-619.3816546762589
3.5,30,192,29.166666666666668,28.9877,28987.699999999997,1.3344119426030205,11.256477475742303,2065.5412499999998,-637.3721323529411
