ID,Dir,Entry Time (CL),Exit Time (CL),OB Low,OB High,Entry,SL,TP,Exit,PnL USD,R-mult,Exit Reason
90,long,2026-02-02 13:32:00,2026-02-02 13:33:00,48743.11,48759.11,48759.11,48718.11,48902.61,48902.61,2033.19,3.451,tp
92,short,2026-02-03 11:45:00,2026-02-03 13:15:00,49432.25,49436.21,49432.25,49461.21,49330.89,49330.89,2035.14,3.431,tp
94,long,2026-02-04 13:01:00,2026-02-04 13:31:00,49297.21,49319.21,49319.21,49272.21,49483.71,49483.71,2075.27,3.457,tp
97,short,2026-02-05 13:07:00,2026-02-05 13:30:00,49348.81,49361.81,49348.81,49386.81,49215.81,49215.81,2083.39,3.447,tp
98,long,2026-02-06 14:56:00,2026-02-06 19:22:00,49644.6,49712.6,49712.6,49619.6,50038.1,50038.1,2138.43,3.478,tp
102,short,2026-02-09 14:38:00,2026-02-09 17:21:00,50212.81,50240.31,50212.81,50265.31,50029.06,50029.06,2131.5,3.462,tp
105,long,2026-02-11 12:16:00,2026-02-11 12:38:00,50216.31,50242.71,50242.71,50191.31,50422.61,50422.61,2145.53,3.461,tp
108,long,2026-02-12 13:23:00,2026-02-12 13:32:00,50205.61,50226.01,50226.01,50180.61,50384.91,50384.91,2156.75,3.456,tp
110,long,2026-02-13 12:12:00,2026-02-13 12:30:00,49278.31,49294.81,49294.81,49253.31,49440.06,49440.06,2191.39,3.452,tp
112,short,2026-02-16 11:02:00,2026-02-16 14:38:00,49692.1,49717.6,49692.1,49742.6,49515.35,49515.35,2211.76,3.46,tp
116,short,2026-02-17 11:13:00,2026-02-17 11:51:00,49479.31,49490.31,49479.31,49515.31,49353.31,49353.31,2205.07,3.444,tp
117,long,2026-02-17 12:14:00,2026-02-17 12:25:00,49298.31,49308.31,49308.31,49273.31,49430.81,49430.81,2242.02,3.443,tp
130,long,2026-02-25 11:32:00,2026-02-25 13:10:00,49311.41,49320.11,49320.11,49286.41,49438.05999999999,49438.05999999999,2141.24,3.441,tp
133,short,2026-02-25 13:41:00,2026-02-25 14:06:00,49388.41,49405.91,49388.41,49430.91,49239.66,49239.66,2174.65,3.453,tp
136,long,2026-02-25 15:19:00,2026-02-25 16:43:00,49249.15,49282.6,49282.6,49224.15,49487.17499999999,49487.17499999999,2197.34,3.466,tp
138,long,2026-02-26 16:38:00,2026-02-26 17:37:00,49246.8,49278.8,49278.8,49221.8,49478.3,49478.3,2211.9,3.465,tp
140,short,2026-02-27 15:14:00,2026-03-01 22:05:00,48955.21,49086.9,48955.21,49111.9,48406.79499999999,48406.79499999999,2253.01,3.487,tp
148,short,2026-03-04 15:07:00,2026-03-05 00:55:00,48808.3,48846.8,48808.3,48871.8,48586.05,48586.05,2199.03,3.469,tp
152,short,2026-03-06 12:29:00,2026-03-06 12:30:00,47716.01,47745.01,47716.01,47770.01,47527.01,47527.01,2199.15,3.463,tp
158,short,2026-03-10 11:05:00,2026-03-10 11:43:00,47899.71,47939.71,47899.71,47964.71,47672.21,47672.21,2184.46,3.469,tp
161,short,2026-03-11 11:04:00,2026-03-11 11:43:00,47816.81,47839.81,47816.81,47864.81,47648.81,47648.81,2192.37,3.458,tp
170,long,2026-03-16 13:00:00,2026-03-16 13:58:00,46866.81,46907.81,46907.81,46841.81,47138.81,47138.81,2146.28,3.47,tp
173,long,2026-03-17 14:27:00,2026-03-17 14:47:00,47077.81,47090.31,47090.31,47052.81,47221.56,47221.56,2146.86,3.447,tp
176,short,2026-03-19 10:46:00,2026-03-19 13:31:00,46157.21,46237.71,46157.21,46262.71,45787.96,45787.96,2182.58,3.481,tp
181,short,2026-03-20 13:46:00,2026-03-20 14:20:00,45972.21,46020.21,45972.21,46045.21,45716.71,45716.71,2169.92,3.473,tp
182,short,2026-03-20 14:07:00,2026-03-23 06:55:00,45868.4,46007.9,45868.4,46032.9,45292.65,45292.65,2179.45,3.488,tp
184,long,2026-03-23 10:49:00,2026-03-23 11:05:00,45158.81,45201.81,45201.81,45133.81,45439.81,45439.81,2232.97,3.471,tp
189,short,2026-03-24 10:48:00,2026-03-24 13:09:00,46149.91,46207.41,46149.91,46232.41,45861.16,45861.16,2229.2,3.476,tp
190,short,2026-03-24 11:47:00,2026-03-24 12:49:00,46172.41,46213.41,46172.41,46238.41,45941.41,45941.41,2225.31,3.47,tp
193,short,2026-03-25 11:39:00,2026-03-25 12:23:00,46642.91,46681.41,46642.91,46706.41,46420.66,46420.66,2278.12,3.469,tp
